,title,channelTitle,duration,trended_later,tags,ratings_disabled,description,Channel_viewCount,Channel_subscriberCount,Channel_hiddenSubscriberCount,Channel_videoCount,Channel_description,view_count_update_11_19_14,likes_update_11_19_14,dislikes_update_11_19_14,comment_count_update_11_19_14,trending?,engagement_rate,INTL,UNK,USA,Category_24.0,Category_25.0,Category_26.0,Category_17.0,Category_22.0,Category_20.0,Category_1.0,Category_10.0,Category_23.0,Category_28.0,Category_2.0,Category_27.0,Category_19.0,Category_15.0,Category_30.0,Category_29.0
22,-0.167,0.0,-0.09129543071590109,False,3.0,0,0.052,-0.3342838798071836,-0.4320091343401102,0,-0.3337917363503217,0.0,0.017574812768287068,-0.13897841851879605,0.5994740632734306,0.2240069919262084,1,0.07828703703703704,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.252,0.0,-0.0671053779051779,False,38.0,0,-0.06,-0.22442165023685814,-0.22094046725111416,0,0.3749425575211873,0.05,0.17579053141555526,0.012621397985244727,1.6785091901718108,1.1624460626813276,1,0.011846456692913386,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,-0.08605785231715075,False,9.0,0,0.11599999999999999,-0.3009910247616265,-0.3233504290788343,0,-0.4110090894735045,0.134,13.971386612274985,8.983773315034213,8.837478847456934,2.497627476439753,1,0.5453477941176471,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.181,0.0,-0.07077708234966266,False,29.0,0,0.169,-0.28794238633627955,-0.374208257579719,0,-0.23866283273541544,0.0,-0.058467664478369215,-0.13661208273352768,-0.17270827253473886,-0.055990366647828416,1,0.0073656330749354015,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.209,0.0,-0.09404920904926466,False,10.0,0,0.075,0.4979116078368074,0.4169520915910407,0,-0.030792999269593693,0.198,0.05001710166746694,-0.08725340477776686,0.7461085979487753,0.4613090419089693,1,0.0015133468149646108,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-0.364,0.0,-0.08924359587927724,False,6.0,0,0.010999999999999996,-0.327144442449102,-0.3650955067391168,0,-0.4090322293857892,-0.053,0.26785617230471753,0.4864029758618023,0.0519455870034972,0.37677614297936735,1,0.06676450511945392,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,-0.05468637757824412,False,28.0,0,0.08700000000000001,-0.1472047904420163,0.22601826445461334,0,-0.3980995940522121,-0.048999999999999995,0.10235874447614833,0.4688355047602991,-0.01945602726834526,0.3101600253336043,1,0.007362938881664499,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.23,0.0,-0.057710134179584524,False,0.0,0,0.259,-0.20099482917248648,1.0340155056546765,0,-0.4037905549107865,0.345,1.7295148516230838,2.8105433931330737,1.627657308787962,3.2565175262440604,1,0.015860117647058827,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,-0.06688939529079645,False,14.0,0,0.056999999999999995,-0.32645700741157724,-0.3459153359222302,0,-0.4117579001127906,0.397,4.491496529921039,3.5358124507972564,2.0264614470380087,1.6365736525063217,1,0.28092636363636364,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,-0.08702977408186731,False,16.0,0,0.0,-0.3357873749510229,-0.4318355581336225,0,-0.41184775738950496,0.0,1.806562174852864,0.9288949071864148,0.6391803268197235,0.3831613788624376,1,0.846909090909091,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
